"'","'","'Gross Amount","'Qualifying Amount","'Deductible Amount",
"'(i)","'Total Deduction in respect of donations to certain funds, charitable institutions, etc. under section 80G","'0.00","'0.00","'0.00",
"'(j)","'Deduction in respect of interest on deposits in savings account under section 80TTA","'0.00","'0.00","'0.00",
"'(k)","'Amount Deductible under any other provision (s) of Chapter VI-A [Note: Break-up to be filled and signed by employer in the table provide at the bottom of this form]","'","'","'",
"'(1)","'Total of amount deductible under any other provision(s) of Chapter VI-A","'0.00","'0.00","'0.00",
"'11.","'Aggregate of deductible amount under Chapter VI-A [10(d)+10(e)+10(f)+10(g)+10(h)+10(i)+10(j)+10(1)]","'","'","'150000.00",
"'12.","'Total taxable income (9-11)","'","'","'2175433.00",
"'13.","'Tax on total income","'","'","'465132.00",
"'14.","'Rebate under section 87A, if applicable","'","'","'0.00",
"'15.","'Surcharge, wherever applicable","'","'","'0.00",
"'16.","'Health and education cess","'","'","'18605.00",
"'17.","'Tax payable (13+15+16-14)","'","'","'483737.00",
"'18.","'Less: Relief under section 89 (attach details)","'","'","'0.00",
"'19.","'Net tax payable (17-18)","'","'","'483737.00",
,,,,

'Confidence Scores % (Table Cell)
""'95.55664063","'95.55664063","'78.66210938","'74.95117188","'83.88671875",
"'85.88867188","'94.38476563","'77.68554688","'74.02343750","'82.86132813",
"'84.91210938","'93.31054688","'76.80664063","'73.19335938","'81.93359375",
"'86.71875000","'95.26367188","'78.66210938","'78.66210938","'78.66210938",
"'84.42382813","'92.77343750","'76.36718750","'72.80273438","'81.49414063",
"'86.66992188","'95.21484375","'64.69726563","'64.69726563","'64.69726563",
"'81.20117188","'89.20898438","'58.39843750","'58.39843750","'58.39843750",
"'84.76562500","'93.11523438","'56.98242188","'56.98242188","'56.98242188",
"'83.59375000","'91.89453125","'61.76757813","'61.76757813","'61.76757813",
"'84.86328125","'93.26171875","'63.76953125","'63.76953125","'63.76953125",
"'84.08203125","'92.43164063","'58.78906250","'58.78906250","'58.78906250",
"'83.54492188","'91.79687500","'59.37500000","'59.37500000","'59.37500000",
"'86.18164063","'94.67773438","'63.72070313","'63.72070313","'63.72070313",
"'87.01171875","'95.60546875","'64.69726563","'64.69726563","'64.69726563",
