"'2. (f)","'Break up for ""Amount of any other exemption","'under section 10' to be filled","'in the table below","'",
"'SI. No.","'Particular's of Amount for any other exemption under section 10 Rs.","'Gross Amount Rs.","'Qualifying Amount Rs.","'Deductible Amount Rs.",
"'1.","'","'","'","'",
"'2..","'","'","'","'",
"'3.","'","'","'","'",
"'4.","'","'","'","'",
"'5.","'","'","'","'",
"'6.","'","'","'","'",
,,,,

'Confidence Scores % (Table Cell)
""'93.31054688","'93.31054688","'93.31054688","'93.31054688","'93.31054688",
"'87.74414063","'94.48242188","'93.26171875","'94.38476563","'93.99414063",
"'81.00585938","'87.25585938","'86.13281250","'87.15820313","'86.81640625",
"'82.56835938","'88.91601563","'87.79296875","'88.81835938","'88.42773438",
"'83.25195313","'89.64843750","'88.52539063","'89.55078125","'89.20898438",
"'82.81250000","'89.16015625","'88.03710938","'89.11132813","'88.72070313",
"'82.81250000","'89.16015625","'88.03710938","'89.11132813","'88.72070313",
"'85.93750000","'92.52929688","'91.35742188","'92.43164063","'92.04101563",
