"'","'Tax Deposited in respect of the","'","'Challan Identification","'Number (CIN)","'",
"'SI. No.","'deductee (Rs.)","'BSR Code of the Bank Branch","'Date on which Tax deposited (dd/mm/yyyy)","'Challan Serial Number","'Status of matching with OLTAS*",
"'5","'33086.00","'6390340","'01-09-2021","'07565","'F",
"'6","'32997.00","'6390340","'05-10-2021","'05647","'F",
"'7","'32893.00","'6390340","'02-11-2021","'04562","'F",
"'8","'32769.00","'6390340","'01-12-2021","'11805","'F",
"'9","'39389.00","'6390340","'04-01-2022","'21642","'F",
"'10","'43862.00","'6390340","'03-02-2022","'02748","'F",
"'11","'38862.00","'6390340","'03-03-2022","'19342","'F",
"'12","'38272.00","'6390340","'19-04-2022","'08039","'F",
"'Total (Rs.)","'483740.00","'","'","'","'",
,,,,,

'Confidence Scores % (Table Cell)
""'94.97070313","'96.67968750","'93.16406250","'93.16406250","'93.16406250","'93.16406250",
"'94.97070313","'96.67968750","'93.94531250","'94.87304688","'94.23828125","'92.48046875",
"'88.18359375","'90.82031250","'89.20898438","'90.13671875","'89.45312500","'87.84179688",
"'88.13476563","'90.77148438","'89.16015625","'90.08789063","'89.45312500","'87.79296875",
"'87.93945313","'90.57617188","'88.91601563","'89.84375000","'89.20898438","'87.54882813",
"'88.37890625","'91.01562500","'89.40429688","'90.28320313","'89.64843750","'88.03710938",
"'88.13476563","'90.77148438","'89.16015625","'90.08789063","'89.45312500","'87.79296875",
"'88.67187500","'91.30859375","'89.64843750","'90.57617188","'89.94140625","'88.28125000",
"'87.93945313","'90.57617188","'88.91601563","'89.84375000","'89.20898438","'87.54882813",
"'90.13671875","'92.82226563","'91.16210938","'92.08984375","'91.45507813","'89.79492188",
"'90.18554688","'92.87109375","'71.92382813","'71.92382813","'71.92382813","'71.92382813",
